Title,Author,First_Publish_Year,ISBN,OpenLibrary_ID
The Catcher in the Rye,J. D. Salinger,1900,,/works/OL3335245W
"Lord of the Rings The Fellowship of the Ring, The Two Towers, The Return of the King",,,,/works/OL31760242W
The Hobbit,J.R.R. Tolkien,1937,,/works/OL27482W
Dune,Frank Herbert,1965,,/works/OL893415W
Little Women,Louisa May Alcott,1848,,/works/OL29983W
As You Like It,William Shakespeare,1734,,/works/OL362698W
Misery,Stephen King,1978,,/works/OL81634W
Catch-22,Joseph Heller,1961,,/works/OL276798W
Animal Farm,George Orwell,1945,,/works/OL1168007W
1984 (adaptation),Michael Dean,2003,,/works/OL11326416W
East of Eden,John Steinbeck,1952,,/works/OL23166W
America is in the heart,Carlos Bulosan,1946,,/works/OL1622940W
Wuthering Heights,Emily Brontë,1846,,/works/OL21177W
Everything's Eventual. 14 Dark Tales,Stephen King,2002,,/works/OL81584W
The bloody chamber and other stories,Angela Carter,1979,,/works/OL697426W
Les Misérables,Victor Hugo,1862,,/works/OL1063588W
Dracula,Bram Stoker,1897,,/works/OL85892W
Frankenstein or The Modern Prometheus,Mary Shelley,1818,,/works/OL450063W
